"","entry_exit_provider_program_type_code","ee_uid","client_id","recordset_id_4110_recordset_id","start_date_4111","a_history_of_housing_and_homelessness_4177","b_risks_4178","c_socialization_daily_functioning_4179","d_wellness_4180","general_information_4176","pre_screen_total_4181","grand_total_adjusted_for_v2_0_4671","date_added_4110_date_added"
"89","Coordinated Assessment (HUD)",766604,322235,3698588,"4/12/2016",1,2,3,4,0,10,10,"4/12/2016"
"90","Emergency Shelter (HUD)",395348,325665,2403638,"8/12/2015",1,0,2,3,1,7,7,"8/12/2015"
"91","Emergency Shelter (HUD)",430308,303502,2992420,"11/16/2015",1,1,1,0,0,3,3,"11/16/2015"
"92","Emergency Shelter (HUD)",430317,283194,1656857,"2/12/2015",1,2,2,5,0,10,9,"2/12/2015"
"93","Emergency Shelter (HUD)",430317,283194,3247520,"12/28/2015",1,1,1,2,0,5,5,"12/28/2015"
"94","Emergency Shelter (HUD)",430438,303442,3661353,"4/5/2016",1,1,3,4,0,9,9,"4/5/2016"
"95","Emergency Shelter (HUD)",430524,303479,2757097,"10/19/2015",1,0,2,0,0,3,3,"10/19/2015"
"96","Emergency Shelter (HUD)",430535,310706,1593073,"1/31/2015",1,0,2,4,0,7,7,"1/31/2015"
"97","Emergency Shelter (HUD)",430556,303285,1593070,"1/31/2015",1,0,2,4,0,7,7,"1/31/2015"
"98","Emergency Shelter (HUD)",462122,304530,1666922,"2/16/2015",1,1,2,2,0,6,6,"2/16/2015"
"99","Emergency Shelter (HUD)",515634,358753,3416114,"2/5/2016",1,1,1,2,0,5,5,"2/5/2016"
"100","Emergency Shelter (HUD)",551502,367139,2572713,"9/10/2015",1,2,3,5,0,11,11,"9/10/2015"
"101","Emergency Shelter (HUD)",586866,380639,1656997,"2/12/2015",1,2,1,0,0,4,4,"2/12/2015"
"102","Emergency Shelter (HUD)",599319,384420,3499735,"2/26/2016",0,2,3,5,0,10,10,"2/26/2016"
"103","Emergency Shelter (HUD)",602727,326711,3650201,"4/1/2016",0,2,2,4,0,8,8,"4/1/2016"
"104","Emergency Shelter (HUD)",629479,392320,3612611,"3/23/2016",1,1,4,6,0,12,12,"3/23/2016"
"105","Emergency Shelter (HUD)",631026,326041,1570656,"1/27/2015",1,2,3,4,0,10,10,"1/27/2015"
"106","Emergency Shelter (HUD)",631026,326041,2162944,"6/18/2015",1,2,3,4,0,10,10,"6/18/2015"
"107","Emergency Shelter (HUD)",632734,302258,2240932,"7/13/2015",1,1,1,3,1,7,7,"7/13/2015"
"108","Emergency Shelter (HUD)",639701,366851,1780228,"3/13/2015",0,2,3,2,0,7,7,"3/13/2015"
"109","Emergency Shelter (HUD)",658014,388263,2994779,"11/16/2015",1,4,3,6,0,14,14,"11/16/2015"
"110","Emergency Shelter (HUD)",660329,317912,1977526,"4/27/2015",1,0,2,3,1,7,7,"4/27/2015"
"111","Emergency Shelter (HUD)",665021,373022,2015482,"5/5/2015",1,1,2,1,0,5,5,"5/5/2015"
"112","Emergency Shelter (HUD)",665883,335640,1592941,"1/31/2015",1,1,3,5,0,10,10,"1/31/2015"
"113","Emergency Shelter (HUD)",670301,335468,2132967,"6/9/2015",0,2,2,1,0,5,5,"6/9/2015"
"114","Emergency Shelter (HUD)",670405,401835,3025003,"10/26/2015",1,3,3,6,0,13,13,"11/19/2015"
"115","Emergency Shelter (HUD)",671336,388534,2575753,"9/10/2015",1,1,3,2,0,7,7,"9/10/2015"
"116","Emergency Shelter (HUD)",675184,303274,1840317,"3/27/2015",1,4,3,5,0,13,13,"3/27/2015"
"117","Emergency Shelter (HUD)",684135,389528,1666897,"2/16/2015",0,1,1,2,0,4,4,"2/16/2015"
"118","Emergency Shelter (HUD)",688589,397297,1967542,"4/23/2015",0,2,2,3,0,7,7,"4/23/2015"
"119","Emergency Shelter (HUD)",688589,397297,3489305,"2/24/2016",0,2,2,2,0,6,6,"2/24/2016"
"120","Emergency Shelter (HUD)",688881,338251,1620674,"2/5/2015",0,3,2,2,0,7,7,"2/5/2015"
"121","Emergency Shelter (HUD)",688881,338251,2354425,"8/4/2015",1,2,3,1,0,7,7,"8/4/2015"
"122","Emergency Shelter (HUD)",689579,344978,1657019,"2/12/2015",1,1,2,1,0,5,5,"2/12/2015"
"123","Emergency Shelter (HUD)",689872,374779,2407766,"8/12/2015",1,3,4,3,0,11,11,"8/12/2015"
"124","Emergency Shelter (HUD)",690670,347333,2425077,"8/17/2015",0,1,2,3,0,6,6,"8/17/2015"
"125","Emergency Shelter (HUD)",693696,410464,2506345,"9/1/2015",1,3,3,6,0,13,13,"9/1/2015"
"126","Emergency Shelter (HUD)",694306,411005,2556814,"9/9/2015",1,2,2,4,0,9,9,"9/9/2015"
"127","Emergency Shelter (HUD)",694419,405486,2482613,"8/27/2015",1,3,3,4,0,11,11,"8/27/2015"
"128","Emergency Shelter (HUD)",694854,130248,2579084,"9/11/2015",0,2,3,7,0,12,11,"9/11/2015"
"129","Emergency Shelter (HUD)",695339,411258,2577543,"9/11/2015",0,1,4,3,0,8,8,"9/11/2015"
"130","Emergency Shelter (HUD)",697273,328481,2610612,"9/17/2015",1,2,2,4,0,9,9,"9/17/2015"
"131","Emergency Shelter (HUD)",699156,400675,2919324,"11/6/2015",1,3,3,6,0,13,13,"11/6/2015"
"132","Emergency Shelter (HUD)",701164,389974,2365774,"8/6/2015",0,2,1,1,0,4,4,"8/6/2015"
"133","Emergency Shelter (HUD)",701414,185845,2686012,"10/5/2015",0,0,0,1,0,1,1,"10/5/2015"
"134","Emergency Shelter (HUD)",701722,385681,2305250,"7/24/2015",1,4,2,5,0,12,12,"7/24/2015"
"135","Emergency Shelter (HUD)",701757,236664,3215900,"12/17/2015",1,3,3,7,0,14,13,"12/17/2015"
"136","Emergency Shelter (HUD)",703321,413882,2723652,"10/13/2015",0,3,2,2,0,7,7,"10/13/2015"
"137","Emergency Shelter (HUD)",703622,328454,2738281,"10/15/2015",1,3,1,2,1,8,8,"10/15/2015"
"138","Emergency Shelter (HUD)",708553,305209,1558523,"1/26/2015",0,2,1,2,0,5,5,"1/26/2015"
"139","Emergency Shelter (HUD)",709492,378912,1842575,"3/27/2015",1,4,2,5,0,12,12,"3/27/2015"
"140","Emergency Shelter (HUD)",709492,378912,2126271,"6/8/2015",1,4,3,5,0,13,13,"6/8/2015"
"141","Emergency Shelter (HUD)",709492,378912,2743550,"10/16/2015",1,4,4,5,0,14,14,"10/16/2015"
"142","Emergency Shelter (HUD)",710546,360379,2974668,"11/13/2015",0,2,3,5,0,10,10,"11/13/2015"
"143","Emergency Shelter (HUD)",710587,415575,2863869,"10/30/2015",1,4,3,5,0,13,13,"10/30/2015"
"144","Emergency Shelter (HUD)",710944,314214,2098004,"5/28/2015",1,1,1,3,0,6,6,"5/28/2015"
"145","Emergency Shelter (HUD)",711206,402728,3426793,"2/8/2016",0,4,4,5,0,13,13,"2/8/2016"
"146","Emergency Shelter (HUD)",712096,379114,2288350,"7/22/2015",1,2,3,3,0,9,9,"7/22/2015"
"147","Emergency Shelter (HUD)",712182,390848,1656584,"2/12/2015",1,2,3,4,0,10,10,"2/12/2015"
"148","Emergency Shelter (HUD)",712448,333423,3451934,"2/15/2016",1,3,3,6,0,13,13,"2/15/2016"
"149","Emergency Shelter (HUD)",712728,367635,3020511,"11/18/2015",1,3,3,3,0,10,10,"11/18/2015"
"150","Emergency Shelter (HUD)",712766,411634,2787916,"10/21/2015",1,2,3,3,1,10,10,"10/22/2015"
"151","Emergency Shelter (HUD)",712769,322921,1657302,"2/12/2015",1,2,2,6,0,11,11,"2/12/2015"
"152","Emergency Shelter (HUD)",712769,322921,3014249,"11/18/2015",1,2,1,5,0,9,9,"11/18/2015"
"153","Emergency Shelter (HUD)",713613,362147,1620142,"2/5/2015",0,0,1,2,0,3,3,"2/5/2015"
"154","Emergency Shelter (HUD)",714332,411005,2556814,"9/9/2015",1,2,2,4,0,9,9,"9/9/2015"
"155","Emergency Shelter (HUD)",714772,324108,1725535,"11/11/2015",1,3,2,4,0,10,10,"3/3/2015"
"156","Emergency Shelter (HUD)",714772,324108,2958500,"3/3/2015",1,2,2,5,0,10,10,"11/11/2015"
"157","Emergency Shelter (HUD)",716408,415015,2821748,"10/27/2015",1,2,4,3,0,10,10,"10/27/2015"
"158","Emergency Shelter (HUD)",717790,349530,1667128,"2/16/2015",1,4,2,4,0,11,11,"2/16/2015"
"159","Emergency Shelter (HUD)",717926,351077,3398367,"2/3/2016",1,4,1,4,0,10,10,"2/3/2016"
"160","Emergency Shelter (HUD)",718260,418253,3166188,"12/4/2015",0,2,2,2,0,6,6,"12/8/2015"
"161","Emergency Shelter (HUD)",720719,306747,2471171,"8/25/2015",1,0,2,1,0,4,4,"8/25/2015"
"162","Emergency Shelter (HUD)",720724,418701,3186353,"12/11/2015",1,3,3,5,0,12,12,"12/11/2015"
"163","Emergency Shelter (HUD)",722064,419145,3218437,"12/17/2015",1,3,2,4,0,10,10,"12/17/2015"
"164","Emergency Shelter (HUD)",722819,417715,3739963,"4/21/2016",1,3,3,5,0,12,12,"4/21/2016"
"165","Emergency Shelter (HUD)",725052,389569,2475223,"8/26/2015",1,2,3,4,0,10,10,"8/26/2015"
"166","Emergency Shelter (HUD)",725052,389569,3228342,"12/21/2015",1,1,3,4,0,9,9,"12/21/2015"
"167","Emergency Shelter (HUD)",725543,72946,2319764,"7/28/2015",1,3,2,5,0,11,11,"7/28/2015"
"168","Emergency Shelter (HUD)",725789,346968,3098413,"11/30/2015",1,1,3,2,1,8,8,"11/30/2015"
"169","Emergency Shelter (HUD)",725792,412131,2639706,"9/23/2015",1,2,3,3,0,9,9,"9/23/2015"
"170","Emergency Shelter (HUD)",725793,322951,2237071,"7/10/2015",1,3,3,4,0,11,11,"7/10/2015"
"171","Emergency Shelter (HUD)",725807,387816,2526332,"9/2/2015",1,1,2,4,0,8,8,"9/3/2015"
"172","Emergency Shelter (HUD)",725809,318535,2744409,"10/16/2015",1,3,3,7,0,14,13,"10/16/2015"
"173","Emergency Shelter (HUD)",725812,350794,2829517,"10/27/2015",1,3,2,3,1,10,10,"10/27/2015"
"174","Emergency Shelter (HUD)",725814,386275,2275434,"7/20/2015",0,2,2,2,0,6,6,"7/20/2015"
"175","Emergency Shelter (HUD)",725821,361423,2348926,"8/3/2015",1,1,2,2,0,6,6,"8/3/2015"
"176","Emergency Shelter (HUD)",725835,327617,3067787,"11/25/2015",1,2,2,4,0,9,9,"11/25/2015"
"177","Emergency Shelter (HUD)",725840,303409,1961668,"4/22/2015",1,2,2,1,0,6,6,"4/22/2015"
"178","Emergency Shelter (HUD)",725845,303498,3013808,"11/18/2015",1,1,3,2,0,7,7,"11/18/2015"
"179","Emergency Shelter (HUD)",725849,217982,2103119,"6/1/2015",1,4,3,4,0,12,12,"6/1/2015"
"180","Emergency Shelter (HUD)",725857,210909,1670242,"2/17/2015",1,3,1,2,0,7,7,"2/17/2015"
"181","Emergency Shelter (HUD)",725857,210909,3015083,"11/18/2015",1,4,4,5,0,14,14,"11/18/2015"
"182","Emergency Shelter (HUD)",725858,303108,2908241,"11/5/2015",1,1,1,2,0,5,5,"11/5/2015"
"183","Emergency Shelter (HUD)",725861,399926,1853030,"3/31/2015",1,1,3,2,0,7,7,"3/31/2015"
"184","Emergency Shelter (HUD)",725862,322235,1796601,"3/17/2015",1,2,1,1,0,5,5,"3/17/2015"
"185","Emergency Shelter (HUD)",725862,322235,2445905,"7/24/2015",0,3,4,3,0,10,10,"8/20/2015"
"186","Emergency Shelter (HUD)",725862,322235,3164104,"12/8/2015",1,2,2,2,0,7,7,"12/8/2015"
"187","Emergency Shelter (HUD)",725869,346587,2712106,"10/9/2015",1,3,3,6,0,13,13,"10/9/2015"
"188","Emergency Shelter (HUD)",725874,354258,1653947,"2/12/2015",1,1,1,1,0,4,4,"2/12/2015"
"189","Emergency Shelter (HUD)",725877,251231,2931435,"11/9/2015",1,3,2,4,0,10,10,"11/9/2015"
"190","Emergency Shelter (HUD)",726196,72946,2319764,"7/28/2015",1,3,2,5,0,11,11,"7/28/2015"
"191","Emergency Shelter (HUD)",726197,322951,2237071,"7/10/2015",1,3,3,4,0,11,11,"7/10/2015"
"192","Emergency Shelter (HUD)",726198,346968,3098413,"11/30/2015",1,1,3,2,1,8,8,"11/30/2015"
"193","Emergency Shelter (HUD)",726212,350794,2829517,"10/27/2015",1,3,2,3,1,10,10,"10/27/2015"
"194","Emergency Shelter (HUD)",726213,361423,2348926,"8/3/2015",1,1,2,2,0,6,6,"8/3/2015"
"195","Emergency Shelter (HUD)",726218,386275,2275434,"7/20/2015",0,2,2,2,0,6,6,"7/20/2015"
"196","Emergency Shelter (HUD)",726220,321872,3018717,"11/18/2015",1,3,1,1,0,6,6,"11/18/2015"
"197","Emergency Shelter (HUD)",726223,387816,2526332,"9/2/2015",1,1,2,4,0,8,8,"9/3/2015"
"198","Emergency Shelter (HUD)",726230,302449,1656077,"2/12/2015",1,1,2,2,0,6,6,"2/12/2015"
"199","Emergency Shelter (HUD)",726231,371011,3253315,"12/29/2015",0,2,2,0,0,4,4,"12/29/2015"
"200","Emergency Shelter (HUD)",726236,303359,1670238,"2/17/2015",1,1,2,2,1,7,7,"2/17/2015"
"201","Emergency Shelter (HUD)",726236,303359,3065562,"11/25/2015",1,1,1,6,1,10,10,"11/25/2015"
"202","Emergency Shelter (HUD)",726237,390848,1656584,"2/12/2015",1,2,3,4,0,10,10,"2/12/2015"
"203","Emergency Shelter (HUD)",726256,303409,1961668,"4/22/2015",1,2,2,1,0,6,6,"4/22/2015"
"204","Emergency Shelter (HUD)",726261,302513,1672899,"2/18/2015",1,2,2,2,0,7,7,"2/18/2015"
"205","Emergency Shelter (HUD)",726263,303498,3013808,"11/18/2015",1,1,3,2,0,7,7,"11/18/2015"
"206","Emergency Shelter (HUD)",726269,353228,1580995,"1/29/2015",1,3,3,6,0,13,13,"1/29/2015"
"207","Emergency Shelter (HUD)",726404,371011,3253315,"12/29/2015",0,2,2,0,0,4,4,"12/29/2015"
"208","Emergency Shelter (HUD)",726417,322951,2237071,"7/10/2015",1,3,3,4,0,11,11,"7/10/2015"
"209","Emergency Shelter (HUD)",726419,350794,2829517,"10/27/2015",1,3,2,3,1,10,10,"10/27/2015"
"210","Emergency Shelter (HUD)",726421,321872,3018717,"11/18/2015",1,3,1,1,0,6,6,"11/18/2015"
"211","Emergency Shelter (HUD)",726432,361423,2348926,"8/3/2015",1,1,2,2,0,6,6,"8/3/2015"
"212","Emergency Shelter (HUD)",726434,346968,3098413,"11/30/2015",1,1,3,2,1,8,8,"11/30/2015"
"213","Emergency Shelter (HUD)",726441,300754,2417025,"8/14/2015",1,3,1,3,0,8,8,"8/14/2015"
"214","Emergency Shelter (HUD)",726441,300754,3251393,"12/29/2015",1,3,1,1,0,6,6,"12/29/2015"
"215","Emergency Shelter (HUD)",726442,387816,2526332,"9/2/2015",1,1,2,4,0,8,8,"9/3/2015"
"216","Emergency Shelter (HUD)",726457,413263,2757302,"10/19/2015",1,2,0,1,0,4,4,"10/19/2015"
"217","Emergency Shelter (HUD)",726476,419606,3248066,"12/28/2015",0,3,2,5,0,10,10,"12/28/2015"
"218","Emergency Shelter (HUD)",726960,185253,3015176,"11/18/2015",0,4,3,4,0,11,11,"11/18/2015"
"219","Emergency Shelter (HUD)",726973,364222,1864860,"4/1/2015",1,1,2,1,0,5,5,"4/1/2015"
"220","Emergency Shelter (HUD)",726977,346968,3098413,"11/30/2015",1,1,3,2,1,8,8,"11/30/2015"
"221","Emergency Shelter (HUD)",726983,303190,2807046,"10/26/2015",1,2,2,2,0,7,7,"10/26/2015"
"222","Emergency Shelter (HUD)",726988,322951,2237071,"7/10/2015",1,3,3,4,0,11,11,"7/10/2015"
"223","Emergency Shelter (HUD)",726994,302449,1656077,"2/12/2015",1,1,2,2,0,6,6,"2/12/2015"
"224","Emergency Shelter (HUD)",727008,321872,3018717,"11/18/2015",1,3,1,1,0,6,6,"11/18/2015"
"225","Emergency Shelter (HUD)",727012,386275,2275434,"7/20/2015",0,2,2,2,0,6,6,"7/20/2015"
"226","Emergency Shelter (HUD)",727015,361423,2348926,"8/3/2015",1,1,2,2,0,6,6,"8/3/2015"
"227","Emergency Shelter (HUD)",727017,412131,2639706,"9/23/2015",1,2,3,3,0,9,9,"9/23/2015"
"228","Emergency Shelter (HUD)",727020,418701,3186353,"12/11/2015",1,3,3,5,0,12,12,"12/11/2015"
"229","Emergency Shelter (HUD)",727021,350794,2829517,"10/27/2015",1,3,2,3,1,10,10,"10/27/2015"
"230","Emergency Shelter (HUD)",727023,387816,2526332,"9/2/2015",1,1,2,4,0,8,8,"9/3/2015"
"231","Emergency Shelter (HUD)",727026,338069,1570202,"1/27/2015",1,4,2,3,0,10,10,"1/27/2015"
"232","Emergency Shelter (HUD)",727378,405940,2278104,"7/20/2015",1,2,3,2,0,8,8,"7/20/2015"
"233","Emergency Shelter (HUD)",727378,405940,3192734,"12/14/2015",1,1,3,5,0,10,10,"12/14/2015"
"234","Emergency Shelter (HUD)",727426,371011,3253315,"12/29/2015",0,2,2,0,0,4,4,"12/29/2015"
"235","Emergency Shelter (HUD)",727427,72946,2319764,"7/28/2015",1,3,2,5,0,11,11,"7/28/2015"
