"","entry_exit_provider_program_type_code","ee_uid","client_id","client_age_at_entry","client_age_at_exit","client_gender","client_primary_race","client_ethnicity","client_veteran_status"
"38","PH - Permanent Supportive Housing (disability required for entry) (HUD)",1003194,313852,58,59,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"39","PH - Permanent Supportive Housing (disability required for entry) (HUD)",911635,373199,42,52,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"40","PH - Permanent Supportive Housing (disability required for entry) (HUD)",913782,463299,55,58,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"41","PH - Permanent Supportive Housing (disability required for entry) (HUD)",913790,463260,65,69,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"42","PH - Permanent Supportive Housing (disability required for entry) (HUD)",918343,464753,55,61,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"43","PH - Permanent Supportive Housing (disability required for entry) (HUD)",918458,418937,43,49,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","Yes (HUD)"
"44","PH - Permanent Supportive Housing (disability required for entry) (HUD)",919177,464997,17,24,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"45","PH - Permanent Supportive Housing (disability required for entry) (HUD)",919178,463680,49,56,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"46","PH - Permanent Supportive Housing (disability required for entry) (HUD)",919713,463663,41,48,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"47","PH - Permanent Supportive Housing (disability required for entry) (HUD)",919714,463666,14,21,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"48","PH - Permanent Supportive Housing (disability required for entry) (HUD)",919715,463667,12,19,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"49","PH - Permanent Supportive Housing (disability required for entry) (HUD)",919716,463678,20,27,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"50","PH - Permanent Supportive Housing (disability required for entry) (HUD)",921548,465789,46,52,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"51","PH - Permanent Supportive Housing (disability required for entry) (HUD)",925433,467683,31,39,"Male","Black or African American (HUD)","Hispanic/Latino (HUD)","No (HUD)"
"52","PH - Permanent Supportive Housing (disability required for entry) (HUD)",956969,477224,41,47,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"53","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959119,477886,26,33,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"54","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959126,477894,41,46,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"55","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959135,349945,44,49,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"56","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959944,478194,27,34,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"57","Other (HUD)",792557,423744,11,12,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"58","Other (HUD)",792558,423745,9,11,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"59","Other (HUD)",792559,423743,16,18,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"60","Other (HUD)",796626,434343,15,16,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"61","Other (HUD)",796627,434344,10,11,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"62","Other (HUD)",796628,434345,8,9,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"63","Other (HUD)",796629,434346,3,4,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"64","Other (HUD)",801443,431503,11,12,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"65","Other (HUD)",801445,435636,27,28,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"66","Other (HUD)",801446,431506,5,6,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"67","Other (HUD)",801447,431505,6,7,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"68","Other (HUD)",806295,308533,8,9,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"69","Other (HUD)",829623,402738,9,10,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"70","Other (HUD)",829624,402740,2,3,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"71","Other (HUD)",856237,361373,6,10,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"72","Other (HUD)",856238,375909,12,16,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)",""
"73","Other (HUD)",856239,361372,15,19,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"74","PH - Housing with services (no disability required for entry) (HUD)",783542,414964,30,33,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"75","PH - Housing with services (no disability required for entry) (HUD)",783543,414969,7,9,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"76","PH - Housing with services (no disability required for entry) (HUD)",783544,414968,8,10,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"77","PH - Housing with services (no disability required for entry) (HUD)",783545,414967,10,12,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"78","PH - Housing with services (no disability required for entry) (HUD)",783546,414965,14,17,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"79","PH - Housing with services (no disability required for entry) (HUD)",783547,417053,0,3,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)",""
"80","PH - Housing with services (no disability required for entry) (HUD)",783548,414966,12,15,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"81","PH - Housing with services (no disability required for entry) (HUD)",801532,428532,36,38,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"82","PH - Housing with services (no disability required for entry) (HUD)",801533,428543,15,18,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"83","PH - Housing with services (no disability required for entry) (HUD)",801534,428544,14,17,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"84","PH - Housing with services (no disability required for entry) (HUD)",801535,428546,4,6,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)",""
"85","PH - Housing with services (no disability required for entry) (HUD)",801536,428545,7,10,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)",""
"86","PH - Housing with services (no disability required for entry) (HUD)",814603,436475,38,41,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"87","PH - Housing with services (no disability required for entry) (HUD)",814604,436478,13,16,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"88","PH - Housing with services (no disability required for entry) (HUD)",814605,436479,10,12,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"89","PH - Housing with services (no disability required for entry) (HUD)",814606,436480,7,9,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"90","PH - Housing with services (no disability required for entry) (HUD)",814677,434316,22,25,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"91","PH - Housing with services (no disability required for entry) (HUD)",814678,434326,2,5,"Male","American Indian or Alaska Native (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"92","PH - Housing with services (no disability required for entry) (HUD)",814679,434327,0,3,"Male","American Indian or Alaska Native (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"93","PH - Housing with services (no disability required for entry) (HUD)",815194,426182,42,45,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"94","PH - Housing with services (no disability required for entry) (HUD)",815195,432858,0,2,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"95","PH - Housing with services (no disability required for entry) (HUD)",815196,426195,6,9,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"96","PH - Housing with services (no disability required for entry) (HUD)",816321,338215,44,46,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"97","PH - Housing with services (no disability required for entry) (HUD)",816322,433772,0,2,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"98","PH - Housing with services (no disability required for entry) (HUD)",816323,338216,17,19,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"99","PH - Housing with services (no disability required for entry) (HUD)",819715,406251,36,38,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"100","PH - Housing with services (no disability required for entry) (HUD)",819716,406253,16,19,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"101","PH - Housing with services (no disability required for entry) (HUD)",819717,406254,1,4,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"102","PH - Housing with services (no disability required for entry) (HUD)",831592,445128,48,51,"Female","Black or African American (HUD)","Hispanic/Latino (HUD)","No (HUD)"
"103","PH - Housing with services (no disability required for entry) (HUD)",831593,445139,10,13,"Female","Black or African American (HUD)","Hispanic/Latino (HUD)","No (HUD)"
"104","PH - Housing with services (no disability required for entry) (HUD)",831594,445138,16,18,"Male","Black or African American (HUD)","Hispanic/Latino (HUD)","No (HUD)"
"105","PH - Housing with services (no disability required for entry) (HUD)",835128,445284,2,5,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"106","PH - Housing with services (no disability required for entry) (HUD)",835129,337450,23,25,"Female","Native Hawaiian or Other Pacific Islander (HUD)","Hispanic/Latino (HUD)","No (HUD)"
"107","PH - Housing with services (no disability required for entry) (HUD)",835130,445285,2,5,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"108","PH - Housing with services (no disability required for entry) (HUD)",842433,441615,31,33,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"109","PH - Housing with services (no disability required for entry) (HUD)",842434,441617,1,3,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"110","PH - Housing with services (no disability required for entry) (HUD)",842435,441616,2,5,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"111","PH - Housing with services (no disability required for entry) (HUD)",845293,395340,12,15,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"112","PH - Housing with services (no disability required for entry) (HUD)",845294,395339,34,36,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"113","PH - Housing with services (no disability required for entry) (HUD)",845295,411249,11,14,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"114","PH - Housing with services (no disability required for entry) (HUD)",847261,447754,0,2,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"115","PH - Housing with services (no disability required for entry) (HUD)",854662,449171,0,2,"Female","American Indian or Alaska Native (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"116","PH - Housing with services (no disability required for entry) (HUD)",856022,306798,40,43,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"117","PH - Housing with services (no disability required for entry) (HUD)",856023,306801,11,14,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"118","PH - Housing with services (no disability required for entry) (HUD)",856024,306800,6,9,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"119","PH - Housing with services (no disability required for entry) (HUD)",856106,411944,36,39,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"120","PH - Housing with services (no disability required for entry) (HUD)",856107,411952,14,17,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"121","PH - Housing with services (no disability required for entry) (HUD)",856108,411954,11,14,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"122","PH - Housing with services (no disability required for entry) (HUD)",856109,408640,2,5,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)",""
"123","PH - Housing with services (no disability required for entry) (HUD)",856110,408639,6,9,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)",""
"124","PH - Housing with services (no disability required for entry) (HUD)",856111,411950,17,20,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"125","PH - Housing with services (no disability required for entry) (HUD)",856112,411945,18,21,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"126","PH - Housing with services (no disability required for entry) (HUD)",856113,408635,15,18,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)",""
"127","PH - Housing with services (no disability required for entry) (HUD)",856247,308313,27,30,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"128","PH - Housing with services (no disability required for entry) (HUD)",856248,308316,3,6,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"129","PH - Housing with services (no disability required for entry) (HUD)",857003,316643,41,43,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"130","PH - Housing with services (no disability required for entry) (HUD)",857004,316644,10,13,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"131","PH - Housing with services (no disability required for entry) (HUD)",857007,388391,28,30,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"132","PH - Housing with services (no disability required for entry) (HUD)",857008,388397,7,9,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"133","PH - Housing with services (no disability required for entry) (HUD)",857009,388398,3,5,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"134","PH - Housing with services (no disability required for entry) (HUD)",857010,388395,10,12,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"135","PH - Housing with services (no disability required for entry) (HUD)",857068,391737,19,22,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"136","PH - Housing with services (no disability required for entry) (HUD)",857069,447748,-1,1,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"137","PH - Housing with services (no disability required for entry) (HUD)",857070,391738,0,3,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"138","PH - Housing with services (no disability required for entry) (HUD)",857095,392578,30,32,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"139","PH - Housing with services (no disability required for entry) (HUD)",857096,381814,7,10,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"140","PH - Housing with services (no disability required for entry) (HUD)",857097,381815,5,7,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"141","PH - Housing with services (no disability required for entry) (HUD)",857098,381813,10,12,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"142","PH - Housing with services (no disability required for entry) (HUD)",857108,373052,26,29,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"143","PH - Housing with services (no disability required for entry) (HUD)",857109,387762,0,3,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"144","PH - Housing with services (no disability required for entry) (HUD)",857110,387758,5,8,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)",""
"145","PH - Housing with services (no disability required for entry) (HUD)",857111,387754,5,8,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)",""
"146","PH - Housing with services (no disability required for entry) (HUD)",857112,387761,3,5,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)",""
"147","PH - Housing with services (no disability required for entry) (HUD)",857121,346678,26,29,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"148","PH - Housing with services (no disability required for entry) (HUD)",857122,346679,5,8,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"149","PH - Housing with services (no disability required for entry) (HUD)",857135,335563,49,52,"Male","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"150","PH - Housing with services (no disability required for entry) (HUD)",857136,370055,38,41,"Female","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"151","PH - Housing with services (no disability required for entry) (HUD)",857137,335564,15,19,"Male","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"152","PH - Housing with services (no disability required for entry) (HUD)",857138,335565,17,20,"Male","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"153","PH - Housing with services (no disability required for entry) (HUD)",857139,370054,14,17,"Male","White (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"154","PH - Housing with services (no disability required for entry) (HUD)",857141,387004,35,38,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"155","PH - Housing with services (no disability required for entry) (HUD)",857142,387021,10,12,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"156","PH - Housing with services (no disability required for entry) (HUD)",857143,387006,15,17,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"157","PH - Housing with services (no disability required for entry) (HUD)",857547,386935,49,51,"Female","Black or African American (HUD)","Client refused (HUD)","No (HUD)"
"158","PH - Housing with services (no disability required for entry) (HUD)",857548,386936,14,17,"Female","Black or African American (HUD)","Client refused (HUD)","No (HUD)"
"159","PH - Housing with services (no disability required for entry) (HUD)",857571,373010,43,47,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"160","PH - Housing with services (no disability required for entry) (HUD)",857572,373283,9,12,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)",""
"161","PH - Housing with services (no disability required for entry) (HUD)",857573,373400,9,12,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)",""
"162","PH - Housing with services (no disability required for entry) (HUD)",857645,383192,29,33,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"163","PH - Housing with services (no disability required for entry) (HUD)",857646,383193,11,15,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"164","PH - Housing with services (no disability required for entry) (HUD)",857647,383195,5,9,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"165","PH - Housing with services (no disability required for entry) (HUD)",858836,449896,0,2,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"166","PH - Housing with services (no disability required for entry) (HUD)",924287,424898,10,12,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"167","PH - Housing with services (no disability required for entry) (HUD)",924288,424899,3,5,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"168","PH - Housing with services (no disability required for entry) (HUD)",924289,426410,24,26,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"169","PH - Housing with services (no disability required for entry) (HUD)",925600,467567,0,1,"Female","Black or African American (HUD)","","No (HUD)"
"170","PH - Rapid Re-Housing (HUD)",599864,374313,28,31,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"171","PH - Rapid Re-Housing (HUD)",599865,379706,9,11,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"172","PH - Rapid Re-Housing (HUD)",599866,379707,8,10,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"173","PH - Rapid Re-Housing (HUD)",627911,382007,32,35,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"174","PH - Rapid Re-Housing (HUD)",627912,382008,9,11,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
